name,isosig,finite,fillings,betti
X_143,lLLLLAQMccegeghihjikkquqtrvfkewxn_bBab,[],"{(-1, 1): 'm137(2, 3)', (1, 3): 'o9_41902(-2, 5)', (3, 1): 'o9_41820(5, 2)', (-1, 2): 't11140(5, 2)', (-2, 1): 'o9_31755(5, 2)', (2, 1): 't11440(2, 3)', (3, 2): 'o9_43193(-2, 5)', (2, 3): 'o9_43239(-2, 5)'}",1
X_144,lLLLLAQPcbcffihhjjkkktrejjsbtlptv_baBb,"[(1, 0)]","{(0, 1): 's490(1, 3)', (-1, 1): 'm303(-5, 2)', (-2, 1): 'o9_33454(3, 1)', (2, 1): 'o9_39468(-1, 2)', (1, 0): 'finite', (1, 1): 't09925(3, 2)'}",1
X_145,lLLLLAQPccedghhgijjkkplrgwvfoptvr_abBa,"[(1, 0)]","{(1, 2): 'o9_37194(-3, 2)', (-2, 3): 'o9_40810(2, 3)', (-2, 1): 'v2804(2, 3)', (-1, 3): 'o9_40488(-3, 2)', (-1, 2): 't09452(2, 3)', (2, 1): 'o9_35424(-3, 2)', (-3, 1): 't12769(3, 2)', (-3, 2): 'o9_40196(2, 3)', (-4, 1): 'o9_43574(3, 2)', (1, 0): 'finite', (1, 1): 's777(5, 2)'}",1
X_146,lLLLLLQQcacfgkgijkjikjkgjtrlwsrjs_abBa,"[(1, 0)]","{(-1, 1): 's952(-2, 3)', (3, 1): 'o9_43919(5, 2)', (-1, 2): 'o9_43139(2, 3)', (-2, 1): 'o9_40606(-2, 3)', (2, 1): 't12615(-2, 5)', (1, 0): 'finite'}",1
X_147,lLLLLLQQcacfhjjhhikkkjkgdueillkns_abBb,[],"{(1, 2): 't11836(-3, 2)', (-2, 3): 'o9_42048(5, 2)', (-2, 1): 'v3511(5, 2)', (3, 1): 't12051(-2, 5)', (-1, 3): 'o9_41319(5, 2)', (-1, 2): 't12427(5, 2)', (3, 2): 'o9_38890(-5, 2)', (2, 1): 'v3247(-5, 3)', (-3, 1): 't12548(-2, 5)', (1, 3): 'o9_40714(-5, 2)', (-4, 1): 'o9_39739(-2, 5)', (2, 3): 'o9_41268(-5, 2)', (-3, 2): 'o9_40557(5, 2)', (4, 1): 'o9_38401(2, 5)', (1, 1): 'm320(-5, 1)'}",1
X_148,lLLLLLQQcacfhjjhhikkkjkgduhillkns_abBa,[],"{(0, 1): 'm373(-3, 2)', (1, 2): 'o9_42045(3, 2)', (-1, 1): 'v3209(5, 2)', (-1, 2): 'o9_43485(5, 2)', (3, 1): 'o9_38890(-5, 3)', (-2, 1): 't12553(5, 2)', (2, 1): 't10467(-5, 3)', (-3, 1): 'o9_42149(5, 2)'}",1
X_149,lLLLLLQQcacfhjjhhikkknkgdueillkns_bBab,[],"{(1, 2): 't11836(-3, 1)', (-2, 3): 'o9_42048(4, 1)', (-1, 1): 's787(4, 1)', (-1, 2): 't12427(4, 1)', (3, 2): 'o9_38890(-4, 1)', (-1, 3): 'o9_41319(4, 1)', (3, 1): 't12051(-1, 4)', (-2, 1): 'v3511(4, 1)', (2, 1): 'v3247(-4, 3)', (-3, 1): 't12548(-1, 4)', (1, 3): 'o9_40714(-4, 1)', (-3, 2): 'o9_40557(4, 1)', (2, 3): 'o9_41268(-4, 1)', (-4, 1): 'o9_39739(-1, 4)', (4, 1): 'o9_38401(1, 4)', (1, 1): 'm307(-5, 1)'}",1
X_150,lLLLLLQQcacfikjhihkkjjkgmtahuqjgr_abBa,"[(0, 1)]","{(1, 2): 't12552(-3, 2)', (-2, 3): 'o9_42978(5, 2)', (-1, 1): 's640(-7, 2)', (3, 1): 't12649(-2, 5)', (3, 2): 'o9_41533(2, 5)', (0, 1): 'finite', (-1, 3): 'o9_42414(5, 2)', (-1, 2): 't12553(5, 2)', (-2, 1): 'v3511(5, 2)', (2, 1): 'v3510(5, 3)', (-3, 1): 't12648(-2, 5)', (1, 3): 'o9_42413(-5, 2)', (-3, 2): 'o9_41534(5, 2)', (2, 3): 'o9_42979(-5, 2)', (-4, 1): 'o9_40949(-2, 5)', (4, 1): 'o9_40950(2, 5)', (1, 1): 's639(-2, 3)'}",1
X_151,lLLLLLQQcacfikjhihkkjnkgmtxhuqjgj_bBba,[],"{(1, 2): 't12427(4, 3)', (-2, 3): 'o9_41268(-4, 3)', (-1, 1): 'm135(1, 5)', (3, 1): 't12548(-3, 4)', (3, 2): 'o9_40557(4, 3)', (-1, 3): 'o9_40714(-4, 3)', (-1, 2): 't11836(-1, 3)', (-2, 1): 'v3247(-4, 1)', (2, 1): 'v3511(4, 3)', (-3, 1): 't12051(-1, 4)', (1, 3): 'o9_41319(4, 3)', (-3, 2): 'o9_38890(-4, 3)', (2, 3): 'o9_42048(4, 3)', (-4, 1): 'o9_38401(3, 4)', (4, 1): 'o9_39739(-3, 4)'}",1
X_152,lLLLLLQQcacgejijihjkknkcktxamjvfw_baBb,[],"{(1, 2): 'o9_30293(1, 4)', (-1, 1): 'm015(3, 2)', (-1, 2): 'o9_28043(-3, 2)', (-2, 1): 'v3479(3, 1)', (2, 1): 'o9_27873(1, 4)', (-3, 1): 'o9_41815(3, 1)', (-3, 2): 'o9_43574(3, 1)', (1, 1): 's304(5, 2)'}",1
